key,project,issuetype,resolution,priority,created,resolutiondate,summary,category,spec_areas,is_nonconformance,mentions_other_driver,preventable_by_yaml_test,confidence,rationale,components,labels,fix_versions,links,url
CDRIVER-554,CDRIVER,Bug,Done,Major - P3,2015-03-03,2015-03-11,Collection-level update and bulk functions do not inherit write concern,driver_spec_nonconformance,write-concern,True,True,True,high,Collection update/bulk ops don't inherit write concern; links PHPC-170.,,,1.1.2,Related:PHPC-170|Related:CDRIVER-570,https://jira.mongodb.org/browse/CDRIVER-554
CDRIVER-555,CDRIVER,Bug,Done,Major - P3,2015-03-03,2015-03-11,Segfault during OpenSSL cleanup routines,avoidable_by_spec_conformance,,False,True,False,medium,OpenSSL cleanup segfault with multiple libraries; links PHPC-167.,,,1.1.2,Related:CDRIVER-2605|Related:PHPC-1158|Related:PHPC-167,https://jira.mongodb.org/browse/CDRIVER-555
CDRIVER-570,CDRIVER,Bug,Done,Minor - P4,2015-03-10,2015-03-11,Executing bulk operation without write concern should inherit from client,driver_spec_nonconformance,write-concern,True,False,True,high,Bulk operations don't inherit client write concern.,,,1.1.2,Related:CDRIVER-554|Tested:CDRIVER-660|Tested:CDRIVER-661,https://jira.mongodb.org/browse/CDRIVER-570
CDRIVER-563,CDRIVER,Bug,Done,Major - P3,2015-03-09,2015-03-13,don't pass server descriptions around unnecessarily,not_relevant,,False,False,False,high,Internal refactor to avoid passing server descriptions unnecessarily.,,SDAM,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-563
CDRIVER-566,CDRIVER,Bug,Done,Major - P3,2015-03-09,2015-03-13,select-related methods in cluster don't need write_concern,not_relevant,,False,False,False,high,Internal refactor removing unnecessary write_concern parameter.,,SDAM,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-566
CDRIVER-572,CDRIVER,Improvement,Done,Minor - P4,2015-03-11,2015-03-16,mallard2man.py should only use Python standard lib,not_relevant,,False,False,False,high,Build tool improvement to use Python standard library.,,,1.1.4,,https://jira.mongodb.org/browse/CDRIVER-572
CDRIVER-569,CDRIVER,Bug,Done,Major - P3,2015-03-09,2015-03-16,write command code shouldn't use server descriptions,not_relevant,,False,False,False,high,Internal refactor for write command code architecture.,,SDAM,1.2-beta0,Related:SPEC-140,https://jira.mongodb.org/browse/CDRIVER-569
CDRIVER-576,CDRIVER,Bug,Done,Major - P3,2015-03-12,2015-03-16,URI parsing does not validate out-of-range port numbers,driver_spec_nonconformance,connection-string,True,False,True,high,URI parsing doesn't validate out-of-range port numbers.,,,TBD,,https://jira.mongodb.org/browse/CDRIVER-576
CDRIVER-581,CDRIVER,Bug,Done,Minor - P4,2015-03-13,2015-03-16,URI parsing should not assume write concern defaults,driver_spec_nonconformance,write-concern|connection-string,True,False,True,high,URI parsing assumes write concern defaults; could send empty concern.,,,1.1.4,Depends:CDRIVER-580,https://jira.mongodb.org/browse/CDRIVER-581
CDRIVER-567,CDRIVER,Bug,Done,Major - P3,2015-03-09,2015-03-17,deprecate mongoc_client_get_max_message_size() and mongoc_client_get_max_bson_size(),not_relevant,,False,False,False,high,Deprecate per-cluster max message/BSON size; internal refactor.,,SDAM,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-567
CDRIVER-568,CDRIVER,Bug,Done,Major - P3,2015-03-09,2015-03-17,SDAM code should normalize hostnames to lowercase,driver_spec_nonconformance,sdam,True,False,True,high,SDAM code should normalize hostnames to lowercase.,,SDAM,1.2-beta0,Related:CDRIVER-536,https://jira.mongodb.org/browse/CDRIVER-568
CDRIVER-582,CDRIVER,Bug,Done,Major - P3,2015-03-17,2015-03-23,Indirect loss' in SDAM,not_relevant,,False,True,False,high,Memory leak in SDAM; links PHPC-182.,,,1.2-beta0,Related:PHPC-182,https://jira.mongodb.org/browse/CDRIVER-582
CDRIVER-588,CDRIVER,Bug,Done,Major - P3,2015-03-23,2015-03-24,Clients don't reconnect after primary step down,driver_spec_nonconformance,sdam,True,False,True,high,Clients don't reconnect after primary step down.,,,1.1.4,Depends:CS-19535|Related:CS-19547,https://jira.mongodb.org/browse/CDRIVER-588
CDRIVER-577,CDRIVER,Bug,Done,Blocker - P1,2015-03-12,2015-03-24,v1.2 no longer uses stream initiator callback,driver_spec_nonconformance,sdam|wire-protocol,True,True,True,high,v1.2 no longer uses stream initiator callback; links PHPC-141.,,SDAM,1.2-beta0,Related:CDRIVER-579|Related:CDRIVER-630,https://jira.mongodb.org/browse/CDRIVER-577
CDRIVER-586,CDRIVER,Bug,Done,Major - P3,2015-03-20,2015-03-24,Bulk Writes sent to wrong server in write command mode,driver_spec_nonconformance,crud|server-selection,True,True,True,high,Bulk writes sent to wrong server in write command mode; links PHPC-186.,,,1.2-beta0,Related:PHPC-186,https://jira.mongodb.org/browse/CDRIVER-586
CDRIVER-579,CDRIVER,Bug,Done,Major - P3,2015-03-12,2015-03-24,ssl no longer supported,driver_spec_nonconformance,wire-protocol|compression,True,False,True,high,SSL connections not supported after CDRIVER-577.,,SDAM,1.2-beta0,Related:CDRIVER-577,https://jira.mongodb.org/browse/CDRIVER-579
CDRIVER-603,CDRIVER,Bug,Done,Critical - P2,2015-04-02,2015-04-03,Latest tar has broken link in Github,not_relevant,,False,False,False,high,Documentation broken link issue.,Docs,,,Related:CDRIVER-550,https://jira.mongodb.org/browse/CDRIVER-603
CDRIVER-560,CDRIVER,Improvement,Done,Trivial - P5,2015-03-06,2015-04-05,Need to add mongoc-client-pool-private.h in mongoc-client-pool-private.c,not_relevant,,False,False,False,high,Missing include header in source file; compiler warning.,,,1.1.5,,https://jira.mongodb.org/browse/CDRIVER-560
CDRIVER-605,CDRIVER,Bug,Done,Trivial - P5,2015-04-04,2015-04-05,Documentation bug,not_relevant,,False,False,False,high,Documentation manual page error.,Docs,,,,https://jira.mongodb.org/browse/CDRIVER-605
CDRIVER-550,CDRIVER,Bug,Done,Trivial - P5,2015-03-02,2015-04-05,Documentation errors,not_relevant,,False,False,False,high,Documentation version reference error.,Docs,,1.1.4,Related:CDRIVER-603,https://jira.mongodb.org/browse/CDRIVER-550
CDRIVER-580,CDRIVER,Bug,Done,Minor - P4,2015-03-13,2015-04-06,Write concern with w=0 and j=true is a GLE op,cross_driver_inconsistency,bson|write-concern,False,True,unsure,medium,References another driver or linked ticket.,,,1.1.5,Depends:PHPC-179|Depends:CDRIVER-581|Depends:PHPC-178|Related:PHPC-280|Related:CDRIVER-587|Related:CDRIVER-590|Related:SPEC-175|Related:PHP-1400,https://jira.mongodb.org/browse/CDRIVER-580
CDRIVER-606,CDRIVER,Bug,Done,Minor - P4,2015-04-04,2015-04-06,Static library build failure on Mac OS,not_relevant,,False,True,False,medium,"Build, packaging, CI, documentation, or dependency-related.",,,1.1.5,,https://jira.mongodb.org/browse/CDRIVER-606
CDRIVER-594,CDRIVER,Bug,Done,Major - P3,2015-03-27,2015-04-07,Make all of the timeouts and intervals in SS/SDAM work correctly,avoidable_by_spec_conformance,sdam,False,False,unsure,medium,Bug in spec-area component; stricter spec discipline could prevent.,,,1.2-beta0,Related:CDRIVER-610|Related:CDRIVER-585,https://jira.mongodb.org/browse/CDRIVER-594
CDRIVER-585,CDRIVER,Improvement,Done,Major - P3,2015-03-19,2015-04-07,Change minHeartbeatFrequencyMS from 10 to 500,not_relevant,,False,False,False,low,Insufficient detail or no clear spec/behavior signal.,,,1.2-beta0,Depends:CXX-568|Depends:DRIVERS-209|Related:PHPC-184|Related:CDRIVER-594,https://jira.mongodb.org/browse/CDRIVER-585
CDRIVER-481,CDRIVER,Improvement,Done,Major - P3,2014-12-09,2015-04-08,Allow to turn off performance counters SHM at compile time,not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",,,1.1.5,Depends:CS-17037,https://jira.mongodb.org/browse/CDRIVER-481
CDRIVER-609,CDRIVER,Bug,Done,Major - P3,2015-04-07,2015-04-08,Stream handlers need to differentiate between closing a stream due to error or normal cleanup,driver_spec_nonconformance,sdam,True,False,True,medium,Driver implementation diverges from spec.,,,1.2-beta0,Related:PHPC-231,https://jira.mongodb.org/browse/CDRIVER-609
CDRIVER-612,CDRIVER,Bug,Done,Minor - P4,2015-04-10,2015-04-11,Compiler warning on Solaris,avoidable_by_spec_conformance,bson,False,False,unsure,medium,Bug in spec-area component; stricter spec discipline could prevent.,,,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-612
CDRIVER-513,CDRIVER,Bug,Done,Major - P3,2015-01-23,2015-04-11,Missing documentation for assorted methods,not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",Docs,,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-513
CDRIVER-529,CDRIVER,Bug,Done,Trivial - P5,2015-02-16,2015-04-14,Building stable version says it is unstable version,not_relevant,,False,True,False,medium,"Build, packaging, CI, documentation, or dependency-related.",,,1.1.5,,https://jira.mongodb.org/browse/CDRIVER-529
CDRIVER-613,CDRIVER,Bug,Done,Major - P3,2015-04-11,2015-04-19,ANSI C warnings,cross_driver_inconsistency,bson,False,True,unsure,medium,References another driver or linked ticket.,,,1.1.5,,https://jira.mongodb.org/browse/CDRIVER-613
CDRIVER-611,CDRIVER,Bug,Done,Major - P3,2015-04-08,2015-04-21,Consistent treatment of integer URI options,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,,,1.2-beta0,Related:PHPC-253,https://jira.mongodb.org/browse/CDRIVER-611
CDRIVER-619,CDRIVER,Bug,Done,Blocker - P1,2015-04-14,2015-04-23,Fail fast after hangup with TLS,not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",,,1.1.5,Depends:CS-19660,https://jira.mongodb.org/browse/CDRIVER-619
CDRIVER-596,CDRIVER,Bug,Done,Major - P3,2015-03-27,2015-04-24,Figure out what to do about bson_t alignment restrictions,driver_spec_nonconformance,bson,True,False,True,medium,Driver implementation diverges from spec.,,,1.2-beta0,Duplicate:CDRIVER-2810|Related:CDRIVER-997|Related:CDRIVER-1042|Related:PHPC-213|Related:CDRIVER-2813,https://jira.mongodb.org/browse/CDRIVER-596
CDRIVER-624,CDRIVER,Bug,Done,Major - P3,2015-04-22,2015-04-24,Fail build with GCC 5,not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",,,1.1.5,,https://jira.mongodb.org/browse/CDRIVER-624
CDRIVER-610,CDRIVER,Bug,Done,Major - P3,2015-04-08,2015-04-28,Client should retry every .5 sec until server selection timeout,test_infrastructure,,False,True,False,medium,"Test infrastructure, YAML format, or spec test runner.",,,1.2-beta0,Related:CDRIVER-594|Related:CDRIVER-2484|Related:PHPC-252,https://jira.mongodb.org/browse/CDRIVER-610
CDRIVER-618,CDRIVER,Bug,Done,Major - P3,2015-04-14,2015-04-29,mongoc_database_get_collection_names returns non-NULL on err,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,,,1.1.5,,https://jira.mongodb.org/browse/CDRIVER-618
CDRIVER-635,CDRIVER,Improvement,Done,Minor - P4,2015-05-05,2015-05-06,The multi option should be true by default,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,,,,Related:DRIVERS-220,https://jira.mongodb.org/browse/CDRIVER-635
CDRIVER-616,CDRIVER,Bug,Done,Major - P3,2015-04-13,2015-05-07,__sync_add_and_fetch_4 missing on i386,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,,,1.1.5,Depends:CS-20081|Related:CDRIVER-365,https://jira.mongodb.org/browse/CDRIVER-616
CDRIVER-527,CDRIVER,Bug,Done,Minor - P4,2015-02-10,2015-05-08,"On github incorrect information in section ""Building from Release Tarball""",not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",,,1.1.5,,https://jira.mongodb.org/browse/CDRIVER-527
CDRIVER-638,CDRIVER,Bug,Done,Major - P3,2015-05-06,2015-05-08,The cdriver's scram implementation doesn't work with openssl FIPS,not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",,,1.1.5,Depends:CS-20627|Related:CDRIVER-673,https://jira.mongodb.org/browse/CDRIVER-638
CDRIVER-642,CDRIVER,Bug,Done,Major - P3,2015-05-11,2015-05-12,Work around localhost exception issues in add_user when connected to MongoDB >= 2.7.1,driver_spec_nonconformance,auth,True,False,True,medium,Driver implementation diverges from spec.,libmongoc,,1.1.5,Depends:DRIVERS-169,https://jira.mongodb.org/browse/CDRIVER-642
CDRIVER-649,CDRIVER,Bug,Done,Major - P3,2015-05-14,2015-05-14,nRemoved field not always present in bulk reply,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,Bulk API|libmongoc,,,,https://jira.mongodb.org/browse/CDRIVER-649
CDRIVER-657,CDRIVER,Bug,Done,Major - P3,2015-05-15,2015-05-18,Large inserts not split into batches with write commands,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,Bulk API|libmongoc,,1.1.6,Related:CDRIVER-255,https://jira.mongodb.org/browse/CDRIVER-657
CDRIVER-523,CDRIVER,Bug,Done,Major - P3,2015-02-05,2015-05-18,"mongoc doesn't coalesce updates or deletes, only inserts",not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,Bulk API|libmongoc,,1.1.6,Depends:CDRIVER-653|Depends:CS-20587|Related:PHPC-193|Related:CDRIVER-255|Tested:CDRIVER-659,https://jira.mongodb.org/browse/CDRIVER-523
CDRIVER-514,CDRIVER,Bug,Done,Major - P3,2015-01-23,2015-05-18,undefined reference to `bson_atomic_int64_add' (mongo-c-driver-1.1.0) in armv7l,not_relevant,,False,True,False,medium,"Build, packaging, CI, documentation, or dependency-related.",Build|libbson,,1.1.5,Duplicate:CDRIVER-515,https://jira.mongodb.org/browse/CDRIVER-514
CDRIVER-658,CDRIVER,Bug,Done,Blocker - P1,2015-05-15,2015-05-18,GSSAPI Authentication implementation is broken and does not work,not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",auth|libmongoc,,1.1.6,Related:CS-20909,https://jira.mongodb.org/browse/CDRIVER-658
CDRIVER-545,CDRIVER,Bug,Done,Critical - P2,2015-02-26,2015-05-21,libbson does not handle large arrays well,cross_driver_inconsistency,bson,False,True,unsure,medium,References another driver or linked ticket.,,driver,,,https://jira.mongodb.org/browse/CDRIVER-545
CDRIVER-631,CDRIVER,Bug,Done,Major - P3,2015-05-01,2015-05-21,Timeout for reconnects is longer than would be expected,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,,,1.1.6|1.1.7,Depends:CS-20574,https://jira.mongodb.org/browse/CDRIVER-631
CDRIVER-625,CDRIVER,Improvement,Done,Major - P3,2015-04-22,2015-05-21,expose CRUD spec mandated information in bulk write API if there is an error,driver_spec_nonconformance,crud,True,False,True,medium,Driver implementation diverges from spec.,Bulk API|libmongoc,,1.2.0,Depends:CXX-583|Related:CDRIVER-428|Related:CDRIVER-651,https://jira.mongodb.org/browse/CDRIVER-625
CDRIVER-528,CDRIVER,Improvement,Done,Major - P3,2015-02-12,2015-05-27,Use maxWriteBatchSize from ismaster for write command batch splitting.,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,Bulk API,,1.2-beta0,Duplicate:CDRIVER-552|Related:CDRIVER-552|Related:CDRIVER-552|Related:CDRIVER-324|Related:DRIVERS-142,https://jira.mongodb.org/browse/CDRIVER-528
CDRIVER-640,CDRIVER,Bug,Done,Major - P3,2015-05-07,2015-05-28,mongoc_client_get_database_names does not set error,driver_spec_nonconformance,bson,True,False,True,medium,Driver implementation diverges from spec.,libmongoc,,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-640
CDRIVER-621,CDRIVER,Bug,Done,Major - P3,2015-04-22,2015-05-29,typo in libbson man pages,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,Docs,,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-621
CDRIVER-650,CDRIVER,Bug,Done,Critical - P2,2015-05-14,2015-05-29,Crash in mongoc_stream_check_closed,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,libmongoc,,1.1.7,Depends:CS-20917,https://jira.mongodb.org/browse/CDRIVER-650
CDRIVER-652,CDRIVER,Improvement,Done,Major - P3,2015-05-14,2015-05-29,Number formatting and whitespace in bson_as_json,cross_driver_inconsistency,bson,False,True,unsure,medium,References another driver or linked ticket.,json|libbson,,1.2-beta0,Related:CDRIVER-2063|Related:CDRIVER-3377,https://jira.mongodb.org/browse/CDRIVER-652
CDRIVER-693,CDRIVER,Improvement,Done,Minor - P4,2015-06-01,2015-06-03,Replace mongoc_collection_delete() with mongoc_collection_remove() in mongo-c-driver/doc/deleting-document.page,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,Docs|libmongoc,,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-693
CDRIVER-692,CDRIVER,Bug,Done,Trivial - P5,2015-06-01,2015-06-03,Fix a typo in libbson/doc/performance.page,not_relevant,,False,False,False,medium,"Build, packaging, CI, documentation, or dependency-related.",Docs,,,,https://jira.mongodb.org/browse/CDRIVER-692
CDRIVER-547,CDRIVER,Bug,Done,Major - P3,2015-02-26,2015-06-08,inappropriate use of sasl_client_init and sasl_client_done,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,auth|libmongoc,,1.2-beta0,Depends:CDRIVER-530|Depends:CS-20909|Related:CDRIVER-731,https://jira.mongodb.org/browse/CDRIVER-547
CDRIVER-530,CDRIVER,Bug,Done,Major - P3,2015-02-17,2015-06-08,SASL version check does not do what you think it does,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,auth|Build|libmongoc,,1.2-beta0,Depends:CDRIVER-547|Related:PHPC-306|Related:CDRIVER-1207|Related:CDRIVER-1233,https://jira.mongodb.org/browse/CDRIVER-530
CDRIVER-700,CDRIVER,Bug,Done,Major - P3,2015-06-09,2015-06-14,Unchecked error in bson_utf8_escape_for_json,test_infrastructure,,False,False,False,medium,"Test infrastructure, YAML format, or spec test runner.",libbson,,1.2-beta0,Related:SECURITY-314,https://jira.mongodb.org/browse/CDRIVER-700
CDRIVER-656,CDRIVER,Bug,Done,Major - P3,2015-05-15,2015-06-16,Wrong error index with bulk write commands,not_relevant,,False,False,False,medium,Insufficient detail or no clear spec/behavior signal.,Bulk API|libmongoc,,,,https://jira.mongodb.org/browse/CDRIVER-656
CDRIVER-680,CDRIVER,Bug,Done,Minor - P4,2015-05-19,2015-06-17,1.1.6 debug compilation fails (for C89),not_relevant,,False,True,False,medium,"Build, packaging, CI, documentation, or dependency-related.",Build|libmongoc,,1.1.8,Related:CS-21195,https://jira.mongodb.org/browse/CDRIVER-680
